question_content,question_content_image,answer_content,answer_content_image,box_number,last_reviewed
"Barrière","15_2025_06_01_16_47_29_Q.jpg","Dispositif de protection contre les contacts directs.",,"1","2025-08-31"
"Unité de départ",,"Unité fonctionnelle à travers laquelle l'énergie électrique est normalement fournie à un ou plusieurs circuits de départ.",,"1","2025-08-31"
"Structure du condensateur","images_questions/ELECTRO_formules/21_2025_06_06_00_09_01_Q.jpg",,"images_reponses/ELECTRO_formules/21_2025_06_06_00_09_04_R.jpg","1","2025-08-31"
"Conductivité","images_questions/ELECTRO_formules/2025_05_27_09_09_19_1748329759_Q.jpg",,"images_reponses/ELECTRO_formules/2025_05_27_09_09_19_1748329759_R.jpg","1","27/05/2025"
"Résistance et température","images_questions/ELECTRO_formules/2025_05_27_22_08_19_1748376499_Q.jpg",,"images_reponses/ELECTRO_formules/2025_05_27_22_08_19_1748376499_R.jpg","1","05-27-25"
"Longueur d'onde","images_questions/ELECTRO_formules/2025_05_27_00_21_25_1748298085_Q.jpg",,"images_reponses/ELECTRO_formules/2025_05_27_00_21_25_1748298085_R.jpg","1","27/05/2025"
"Résistance d'un fil","images_questions/ELECTRO_formules/2025_05_24_23_31_31_1748122291_Q.jpg",,"images_reponses/ELECTRO_formules/2025_05_24_23_31_31_1748122291_R.jpg","1","27/05/2025"
"Résistance d'un fil","images_questions/ELECTRO_formules/2025_05_24_23_52_17_1748123537_Q.jpg",,"images_reponses/ELECTRO_formules/2025_05_24_23_52_17_1748123537_R.jpg","1","27/05/2025"
"Limites d'une résistance","images_questions/ELECTRO_formules/19_2025_06_02_01_44_20_Q.jpg",,"images_reponses/ELECTRO_formules/19_2025_06_02_01_44_21_R.jpg","1","05-27-25"
"Charge électrique et électrons","images_questions/ELECTRO_formules/18_2025_06_02_01_43_46_Q.jpg",,"images_reponses/ELECTRO_formules/18_2025_06_02_01_43_47_R.jpg","1","05-27-25"
"Charge électrique","images_questions/ELECTRO_formules/17_2025_06_02_01_43_00_Q.jpg",,"images_reponses/ELECTRO_formules/17_2025_06_02_01_43_01_R.jpg","1","05-27-25"
"Charges électriques","images_questions/ELECTRO_formules/16_2025_06_02_01_42_02_Q.jpg",,"images_reponses/ELECTRO_formules/16_2025_06_02_01_42_03_R.jpg","1","05-27-25"
"Résistance et température","images_questions/ELECTRO_formules/15_2025_06_02_01_48_33_Q.jpg",,"images_reponses/ELECTRO_formules/15_2025_06_02_01_48_34_R.jpg","1","05-27-25"
,"images_questions/ELECTRO_formules/2025_05_22_08_27_33_1747895253_Q.jpg",,"images_reponses/ELECTRO_formules/2025_05_22_08_27_33_1747895253_R.jpg","1","27/05/2025"
,"images_questions/ELECTRO_formules/2025_05_22_08_13_32_1747894412_Q.jpg",,"images_reponses/ELECTRO_formules/2025_05_22_08_13_32_1747894412_R.jpg","1","27/05/2025"
,"images_questions/ELECTRO_formules/2025_05_22_08_13_10_1747894390_Q.jpg",,"images_reponses/ELECTRO_formules/2025_05_22_08_13_10_1747894390_R.jpg","1","27/05/2025"
,"images_questions/ELECTRO_formules/2025_05_22_08_12_46_1747894366_Q.jpg",,"images_reponses/ELECTRO_formules/2025_05_22_08_12_46_1747894366_R.jpg","1","27/05/2025"
,"images_questions/ELECTRO_formules/2025_05_22_08_11_51_1747894311_Q.jpg",,"images_reponses/ELECTRO_formules/2025_05_22_08_11_51_1747894311_R.jpg","1","27/05/2025"
,"images_questions/ELECTRO_formules/2025_05_22_08_12_05_1747894325_Q.jpg",,"images_reponses/ELECTRO_formules/2025_05_22_08_12_05_1747894325_R.jpg","1","27/05/2025"
,"images_questions/ELECTRO_formules/2025_05_22_08_12_18_1747894338_Q.jpg",,"images_reponses/ELECTRO_formules/2025_05_22_08_12_18_1747894338_R.jpg","1","27/05/2025"
