question_content,question_content_image,answer_content,answer_content_image,box_number,last_reviewed
Signification de l'acronyme ACR,,"ACR Attenuation to Crosstalk Ratio. Lors de la transmission sur câble à paire torsadée, atténuation et diaphonie agissent ensemble. Leur ratio (ACR-N) indique la qualité réelle, proche d’un rapport signal/bruit",,1,05-03-25
Signification de l'acronyme ACU,,ACU Autocommutateur d'usagers (voir PBX),,1,05-03-25
Signification de l'acronyme AM,,AM Modulation d'amplitude,,1,05-03-25
Signification de l'acronyme ASI,,ASI Alimentation Sans Interruption (Onduleur),,1,05-03-25
Signification de l'acronyme BEP(HAK),,BEP Building Entry Point pour fibre optique(Hausanschlusskasten),,1,05-03-25
Signification de l'acronyme BRI,,BRI Basic Rate Interface,,1,05-04-25
Signification de l'acronyme CATV,,CATV TV par câble,,1,05-03-25
Signification de l'acronyme CEM,,CEM Compatibilité électromagnétique,,1,05-03-25
Signification de l'acronyme CLIP,,CLIP Calling Line Identification Identification de l'appelant,,1,05-03-25
Signification de l'acronyme CLIR,,CLIR Calling Line Identification Restriction  (sans CLIP),,1,05-03-25
Signification de l'acronyme CT / CT1,,CT / CT1 Cordless Telephone,,1,05-03-25
Signification de l'acronyme CTI,,CTI Computer Telephone Integration,,1,05-03-25
Signification de l'acronyme CUC,,CUC Câblage universel de communication,,1,05-03-25
Signification de l'acronyme dB,,dB décibel,,1,05-03-25
Signification de l'acronyme DDI,,DDI Direct Dial In (plage de numéros de lignes directes),,1,05-03-25
Signification de l'acronyme DECT,,DECT Digital Enhanced Cordless Telecommunication,,1,05-03-25
Signification de l'acronyme DHCP,,DHCP Dynamic Host Configuration Protocol,,1,05-03-25
Signification de l'acronyme DiSEqC,,DiSEqC Digital Satellite Equipment Control (commande LNB),,1,05-03-25
Signification de l'acronyme DIT,,DIT Directives pour les installations de télécommunication,,1,05-03-25
Signification de l'acronyme DRAM,,DRAM Dynamic Random Access Memory,,1,05-03-25
Signification de l'acronyme DSL,,DSL Digital Subscriber Line,,1,05-03-25
Signification de l'acronyme DTMF,,DTMF Dual Tone Multi-Frequency,,1,05-03-25
Signification de l'acronyme DVB-C,,DVB-C Digital Video Broadcasting - Cable,,1,05-03-25
Signification de l'acronyme DVB-S,,DVB-S Digital Video Broadcasting - Satellite,,1,05-03-25
Signification de l'acronyme DVB-T,,DVB-T Digital Video Broadcasting - Terrestrial,,1,05-03-25
Signification de l'acronyme Ecomode,,Ecomode DECT avec rayonnement réduit,,1,05-03-25
Signification de l'acronyme EDGE,,EDGE Enhanced Data Rates for GSM Evolution (2G),,1,05-03-25
Signification de l'acronyme ESTI,,ESTI Eidgenössisches Starkstrominspektorat(Inspection fédérale des installations à courant fort),,1,05-03-25
Signification de l'acronyme ETSI,,ETSI European Telecommunications Standards Institute,,1,05-03-25
Signification de l'acronyme FC,,FC Fiber Cupler (connecteur de FO),,1,05-03-25
Signification de l'acronyme FDDI,,FDDI Fiber Distributed Data Interface,,1,05-03-25
Signification de l'acronyme FEXT,,FEXT Far End CrossTalk (télédiaphonie),,1,05-03-25
Signification de l'acronyme FM,,FM Modulation de fréquence,,1,05-03-25
Signification de l'acronyme FO(LWL),,FO Fibre optique(Lichtwellenleiter),,1,05-03-25
Signification de l'acronyme FSK,,FSK Frequency Shift Keying,,1,05-03-25
Signification de l'acronyme FTP,,FTP Foiled Twisted Pair,,1,05-03-25
Signification de l'acronyme FTTH /D /S /C,,FTTC Fiber to the curb (Fibre jusqu'au trottoir)/FTTS Fiber to the street (Fibre jusqu'à la rue - bâtiment)/FTTN Fiber to the neighbourhood (Fibre jusqu'au quartier)/FTTB Fiber to the building (Fibre jusqu'au bâtiment)/FTTCab Fiber to the cab (Fibre jusqu'au sous-répartiteur)/FTTP Fiber to the premises (Fibre jusqu'aux locaux - entreprises)/FTTH Fiber to the home (Fibre jusqu'au domicile)/FTTE Fibre to the enterprise (Fibre pour les entreprises)/FTTO Fiber to the office (Fibre jusqu'au bureau - entreprises)/FTTLA Fiber to the last amplifier (Fibre jusqu'au dernier amplificateur)images_reponses/FTTX-fr.svg.png,,1,05-03-25
